题号,题干,A,B,C,D,E,答案,难度,题型
23,在面向数据流的设计方法中，数据流图分为哪两种类型？,变换型和事务型,输入型和输出型,顺序型和循环型,控制型和数据型,,A,结构化设计,单选题
24,接口设计不包括以下哪项？,模块内部算法,人机界面,软件与硬件接口,模块间接口,,A,结构化设计,单选题
25,事务型数据流图的特点是什么？,将输入数据流分散成许多数据流，选择路径执行,输入数据直接输出,只处理事务,没有变换中心,,A,结构化设计,单选题
26,在软件结构图中，方框之间的直线表示什么？,模块的调用关系,数据流,控制流,接口,,A,结构化设计,单选题
27,HIPO图是什么的缩写？,层次图加输入/处理/输出图,高级输入输出图,层次输入处理输出,高级处理输出图,,A,结构化设计,单选题
28,数据库的概念结构设计通常采用什么方法？,实体-关系图（ER图）,数据流图,程序流程图,结构图,,A,结构化设计,单选题
29,如果一个模块内部的处理是相关的，而且必须以特定次序执行，这种内聚称为？,过程内聚,顺序内聚,通信内聚,逻辑内聚,,A,结构化设计,单选题
30,如果一些模块完成的功能必须在同一时间内执行，这种内聚称为？,时间内聚,过程内聚,逻辑内聚,偶然内聚,,A,软件工程概述,单选题
31,两个模块之间仅通过参数传递简单数据，这种耦合称为？,数据耦合,特征耦合,控制耦合,外部耦合,,A,结构化设计,单选题
32,如果一个模块传递给另一个模块的参数中包含了控制信息，这种耦合称为？,控制耦合,数据耦合,特征耦合,内容耦合,,A,结构化设计,单选题
33,一组模块都访问同一全局简单变量，而不是通过参数表传递，这种耦合称为？,外部耦合,公共耦合,数据耦合,特征耦合,,A,结构化设计,单选题
34,若一组模块都访问同一个公共数据环境，这种耦合称为？,公共耦合,外部耦合,内容耦合,控制耦合,,A,软件工程概述,单选题
35,物理结构设计包括什么？,定义字段名、数据类型等,绘制ER图,设计模块算法,定义接口,,A,结构化设计,单选题
36,下列哪种内聚性最高？,功能内聚,顺序内聚,通信内聚,偶然内聚,,A,结构化设计,单选题
37,下列的（ ）不是分析建模的目的。,定义可验证的软件需求,描述客户需求,开发一个简单的问题解决方案,建立软件设计的基础,,C,UML,单选题
38,下列的（ ）不属于面向对象分析模型。,用例图,类图,实体关系图,顺序图,,C,UML,单选题
39,在分析类中，（ ）用于描述一个用例所具有的事件流控制行为。,实体类,界面类,接口类,控制类,,D,UML,单选题
40,开发人员使用（ ）可以将用例的行为分配到所识别的分析类中。,用例图,顺序图,类图,状态图,,B,UML,单选题
41,关于面向对象分析，下列的（ ）是正确的。,它是系统需求建模的方法,它是分析系统设计的技术,可以从分析直接编写代码,在软件生命周期中，它出现在面向对象设计之后,,A,UML,单选题
42,状态图包括（ ）。,类的状态,状态之间的转换,类执行的动作,触发类的动作的事件,所有以上选项,E,UML,单选题
43,（ ）定义了系统的功能需求，它是从系统的外部看系统功能，并不描述系统内部对功能的具体实现。,用例图,类图,活动图,状态图,,A,UML,单选题
44,（ ）意味着一个操作在不同的类中可以有不同的实现方式。,多态性,多继承,消息,封装,,A,UML,单选题
45,UML是（ ）的缩写。,Unified Module Language,Unified Modeling Language,Universal Module Leveling,Universal Module Language,,B,UML,单选题
46,研究硬软件资源的有效性是进行（ ）研究的一方面。,技术可行性,经济可行性,社会可行性,操作可行性,,A,可行性研究,单选题
47,SA方法用DFD描述（ ）。,系统的控制流程,系统的数据结构,系统的基本加工,系统的功能,,D,结构化分析,单选题
48,需求分析中开发人员要从用户那里了解（ ）。,软件做什么,用户使用界面,输入的信息,软件的规模,,A,结构化分析,单选题
49,需求分析阶段的研究对象是（ ）。,用户要求,分析员要求,系统要求,软硬件要求,,A,结构化分析,单选题
50,需求分析阶段最重要的技术文档之一是（ ）。,项目开发计划,设计说明书,需求规格说明书,可行性分析报告,,C,结构化分析,单选题
51,软件可行性研究实质上是要进行一次（ ）需求分析、设计过程。,简化、压缩的,详细的,彻底的,深入的,,A,可行性研究,单选题
52,经济可行性研究的范围包括（ ）。,资源有效性,管理制度,效益分析,开发风险,,C,可行性研究,单选题
53,可行性分析是在系统开发的早期所做的一项重要的论证工作，它是决定该系统是否开发的决策依据，因必须给出（ ）的回答。,确定,行或不行,正确,无二义,,B,可行性研究,单选题
54,研究开发所需要的成本和资源是属于可行性研究中的（ ）。,技术可行性研究,经济可行性研究,社会可行性研究,法律可行性研究,,B,可行性研究,单选题
55,可行性报告中不包括以下哪个方面（ ）。,技术上的可行性,经济上的可行性,人力的可行性,以上三项,,C,可行性研究,单选题
56,开发一个软件工程的第一步是（ ）。,可行性研究,组织开发人员,购买开发工具,开发任务指定,,A,可行性研究,单选题
57,一个项目是否开发，从经济上来说是否可行，归根结底是取决于（ ）。,成本估算,项目计划,工程管理,工程网络图,,A,可行性研究,单选题
58,类的行为应该基于（ ）进行测试。,数据流图,用例图,对象图,状态图,,D,UML,单选题
59,可行性研究的目的是决定（ ）。,开发项目,项目值得开发否,规划项目,维护项目,,B,可行性研究,单选题
60,年利率为i，现存入P元不计复利，n年后本金利息为（ ）。,P×(1+i)^n,P×（1－i×n）,P×（1+i×n）,P×（1+i）×n,,C,可行性研究,单选题
61,下面的（ ）界面设计原则不允许用户保持对计算机交互的控制。,允许交互中断,允许交互操作取消,对临时用户隐藏技术内部信息,只提供一种规定的方法完成任务,,D,UML,单选题
62,以提高软件质量为目的技术活动是（ ）。,技术创新,测试,技术改造,技术评审,,B,软件测试,单选题
63,黑盒法是根据程序的（ ）来设计测试用例的。,应用范围,内部逻辑,功能,输入数据,,C,软件测试,单选题
64,使用白盒测试方法时确定测试数据应根据（ ）和指定的覆盖标准。,程序的内部逻辑,程序的复杂程度,使用说明书,程序的功能,,A,软件测试,单选题
65,软件单元测试的主要工作内容是（ ）。,测试模块内部逻辑,测试模块内数据流向,测试模块单元的具体实现,以上全是,,D,软件测试,单选题
66,自顶向下的增量式集成策略的最大成本是（ ）。,桩模块的开发和维护,驱动模块的开发和维护,对被测模块的组装,对构件的分层和修改,,A,软件测试,单选题
67,有一个功能增强型的项目，其以前的产品已经很稳定，并且新增的项目只有少数几个构件被增加或修改，那么对该项目进行集成测试最适合采用的策略是（ ）。,自项向下集成策略,自底向上集成策略,非增量集成策略,基于功能的集成策略,,C,软件测试,单选题
68,与确认测试阶段有关的文档是（ ）。,需求规格说明书,概要设计说明书,详细设计说明书,源程序,,A,软件测试,单选题
69,软件测试中，白盒法是通过分析程序的（ ）来设计测试用例的。,应用范围,内部逻辑,功能,输入数据,,B,软件测试,单选题
70,各种软件维护的类型中最重要的是（ ）。,完善性维护,纠错性维护,适应性维护,预防性维护,,A,软件过程,单选题
71,软件维护困难不包括（ ）。,读懂别人程序的困难,文档的不一致性,软件维护不吸引人,源程序错误多,,D,软件过程,单选题
72,为适应软件运行环境的变化而修改软件的活动称为（ ）。,纠错性维护,适应性维护,改善性维护,预防性维护,,B,软件过程,单选题
73,在长期维护小组中，（ ）是该小组的技术负责人。,组长,副组长,维护负责人,维护程序员,,A,软件过程,单选题
74,在软件生存周期中，时间最长、所花费的精力和费用也最多的阶段是（ ）。,详细设计,维护,概要设计,测试,,B,软件过程,单选题
75,状态图包括（ ）。,类的状态,状态之间的转换,类执行的动作,触发类的动作的事件,所有以上选项,E,UML,单选题
76,软件设计阶段一般又可分为（ ）。,逻辑设计和功能设计,概要设计和详细设计,概念设计和物理设计,模型设计和程序设计,,B,结构化设计,单选题
77,调试应该由（ ）完成。,与源程序无关的程序员,编制该源程序的程序员,不了解软件设计的机构,设计该软件的机构,,B,软件测试,单选题
78,（ ）方法需要考察模块间的接口和各模块之间的联系。,单元测试,集成测试,确认测试,系统测试,,B,软件测试,单选题
79,发现错误能力最弱的是（ ）。,语句覆盖,判定覆盖,条件覆盖,路径覆盖,,A,软件测试,单选题
80,覆盖准则最强的是（ ）。,语句覆盖,判定覆盖,条件覆盖,路径覆盖,,D,软件测试,单选题
81,下面说法正确的是（ ）。,经过测试没有发现错误说明程序正确,测试的目标是为了证明程序没有错误,成功的测试是发现了迄今尚未发现的错误的测试,成功的测试是没有发现错误的测试,,C,软件测试,单选题
82,软件详细设计阶段的任务是（ ）。,算法设计,功能设计,调用关系设计,输入/输出设计,,A,结构化设计,单选题
83,结构图中，不是其主要成分的是（ ）。,模块,模块间传递的数据,模块内部数据,模块间的控制关系,,C,结构化设计,单选题
84,程序的三种基本控制结构是（ ）。,过程、子程序和分程序,顺序、选择和重复,递归、堆栈和队列,调用、返回和转移,,B,结构化设计,单选题
85,某个模块的作用域是指（ ）。,被该模块调用的所用模块,调用该模块的所有模块,与该模块相关联的所有模块,受该模块内的判定影响的所有模块,,D,结构化设计,单选题
86,详细设计的基本任务中包括（ ）。,数据流设计,人机对话设计,数据库的逻辑设计,软件结构设计,,B,结构化设计,单选题
87,在详细设计阶段，经常采用的工具包括（ ）。,SC图,DFD图,PAD图,IDEF图,,C,结构化设计,单选题
88,数据流图描述系统的（ ）。,数据结构,控制流程,基本加工,软件功能,,D,结构化分析,单选题
89,详细设计的结果基本决定了最终程序的（ ）。,代码的规模,运行速度,质量,可维护性,,C,结构化设计,单选题
90,软件设计一般分为总体设计和详细设计，它们之间的关系是（ ）。,全局和局部,抽象和具体,总体和层次,功能和结构,,B,结构化设计,单选题
91,一组模块都访问同一全局简单变量，而不是通过参数表传递，这种耦合称为？,外部耦合,公共耦合,数据耦合,特征耦合,,A,结构化设计,单选题
92,如果一个模块传递给另一个模块的参数中包含了控制信息，这种耦合称为？,控制耦合,数据耦合,特征耦合,内容耦合,,A,结构化设计,单选题
93,两个模块之间仅通过参数传递简单数据，这种耦合称为？,数据耦合,特征耦合,控制耦合,外部耦合,,A,结构化设计,单选题
94,下列哪种耦合的模块独立性最强？,非直接耦合,数据耦合,控制耦合,内容耦合,,A,结构化设计,单选题
95,模块独立性的度量包括哪两个方面？,耦合和内聚,大小和复杂度,功能和性能,输入和输出,,A,结构化设计,单选题
96,模块化是指将系统划分为什么？,独立命名且可独立访问的模块,相互依赖的组件,大型代码块,用户界面,,A,结构化设计,单选题
97,软件设计在软件开发过程中处于什么地位？,核心地位,次要地位,可选步骤,测试阶段,,A,结构化设计,单选题
98,在UML中，表示对象之间交互的时间顺序的图是（）。,类图,对象图,顺序图,活动图,,C,UML,单选题
99,以下哪项不是UML 2.0中的图？,用例图,数据流图,状态图,活动图,,B,UML,单选题
100,以下哪项不是参与者的类型？,人,硬件设备,数据库表,外部系统,,C,UML,单选题
101,在用例文档中，描述用例正常流程的部分是（）。,前置条件,基本事件流,扩展事件流,后置条件,,B,UML,单选题
102,在UML中，表示类之间“整体-部分”关系的是（）。,关联,依赖,聚合,泛化,,C,UML,单选题
103,以下哪项不是用例建模中常见的错误？,把步骤当作用例,使用业务语言命名,CRUD泛滥,把数据流图中的加工当成用例,,B,UML,单选题
104,UML中，用于表示系统物理部署的图是（）。,组件图,部署图,包图,对象图,,B,UML,单选题
105,以下哪项不是用例命名的原则？,动名词形式,短小精悍,技术术语优先,业务语言,,C,UML,单选题
106,下面的（ ）不再是现代软件工程师关注的问题。,为什么计算机硬件的成本这么高？,为什么软件需要很长时间才能完成？,为什么开发一个软件的成本这么高？,为什么不能在产品发布前去除软件错误？,,A,软件工程概述,单选题
107,螺旋模型（ ）。,在软件产品发布时结束,比增量模型更加混乱,在每一次迭代过程中包含项目风险评价,以上所有选项,,C,软件过程,单选题
108,快速原型开发模型是（ ）。,适用于客户需求被明确定义的情况,适用于客户需求难以清楚定义的情况,最适合于大规模团队开发的项目,很难产生有意义产品的一种冒险模型,,B,软件过程,单选题
109,软件开发的增量模型是（ ）。,适用于需求被清晰定义的情况,一种需要快速构造核心产品的好方法,最适合于大规模团队开发的项目,一种不适用于商业产品的创新模型,,B,软件过程,单选题
110,软件开发的瀑布模型是（ ）。,适用于需求被清晰定义的情况,一种需要快速构造可运行程序的好方法,最适合于大规模团队开发的项目,已不能用于现代环境的过时模型,,A,软件过程,单选题
111,软件过程的基本活动是（ ）。,分析、设计、实现、测试、演化,沟通、计划、建模、构造、部署,计划、分析、设计、实现、调试,沟通、风险管理、度量、产品化、评审,,A,软件过程,单选题
112,（ ）是软件生存期中的一系列相关软件工程活动的集合，它由软件规格说明、软件设计与开发、软件确认、软件改进等活动组成。,软件过程,软件工具,软件产品,软件工程,,A,软件过程,单选题
113,软件工程师在从事软件工作时应使用下面的（ ）准则。,从来不为个人获利而窃取数据,从来不散布或出售项目中自己工作的信息,从来不故意毁坏或修改别人的程序、文件或数据,从来不侵犯个人、小组或组织的隐私,以上所有选项,E,软件工程概述,单选题
114,下面的（ ）说法是正确的。,软件危机在20世纪70年代末期全面爆发,当前先进的软件工程方法已经解决了软件危机的问题,软件危机是指在计算机软件的开发和维护过程中遇到的一系列严重问题,软件危机是指在软件产品中存在一系列的质量问题,,C,软件工程概述,单选题
115,（ ）是将系统化的、规范的、可定量的方法应用于软件的开发、运行和维护的过程，它包括方法、工具和过程三个要素。,软件产品,软件过程,软件测试,软件工程,,D,软件工程概述,单选题
116,软件工程的基本要素包括方法、工具和（ ）。,软件系统,硬件环境,过程,人员,,C,软件工程概述,单选题
117,软件工程的基本目标是（ ）。,消除软件固有的复杂性,开发高质量的软件,努力发挥开发人员的创造性潜能,更好地维护正在使用的软件产品,,B,软件工程概述,单选题
118,下面的（ ）不是RUP模型的阶段。,启动阶段,精化阶段,构造阶段,确认阶段,,D,软件过程,单选题
119,大多数软件仍然是定制开发的，其原因在于（ ）。,软件组件重用是十分普遍的,可重用的组件太昂贵而无法使用,软件在不使用其他组件的情况下很容易构造出来,商业组件在很多应用领域中可以得到,,C,软件工程概述,单选题
120,软件会逐渐退化而不会磨损，其原因在于（ ）。,软件通常暴露在恶劣的环境下,软件错误通常发生在使用之后,不断的变更使组件接口之间引起错误,软件备件很难订购,,C,软件工程概述,单选题
121,以下哪项不是UML视图之一？,用户视图,结构视图,行为视图,代码视图,,D,UML,单选题
122,在用例图中，表示用例可以在基础用例之上添加新行为的关系是（）。,包含,扩展,泛化,实现,,B,UML,单选题
123,以下哪项不是用例文档中“前置条件”的特点？,系统能检测到,用例开始前必须满足,描述用户心理状态,阻止参与者触发用例直到满足条件,,C,UML,单选题
124,在UML中，表示系统逻辑元素分布的图是（）。,部署图,组件图,包图,类图,,B,UML,单选题
125,以下哪项不是面向对象方法的发展阶段？,初期阶段（20世纪60年代）,发展阶段（20世纪80年代）,成熟阶段（20世纪90年代）,衰退阶段（21世纪初）,,D,面向对象方法,单选题
126,在UML中，表示系统并发性和线程间通信的视图是（）。,逻辑视图,进程视图,实现视图,部署视图,,B,UML,单选题
127,以下哪项不是用例建模中常见的错误？,把步骤当作用例,使用业务语言命名,CRUD泛滥,把数据流图中的加工当成用例,,B,UML,单选题
128,哪种UML图显示了系统的静态结构，表示不同实体（类）是如何彼此关联的？,用例图,类图,活动图,状态图,,B,UML,单选题
129,在用例图中，非人类的参与者，如另一个系统，通常用什么图形表示？,小人图,带构造型的方框图,椭圆形,菱形,,B,UML,单选题
130,“UML三友”（Three Amigos）指的是哪三位对UML做出主要贡献的人物？,"Booch, Rumbaugh, Jacobson","Coad, Yourdon, Booch","Jacobson, Yourdon, Rumbaugh","Booch, Gates, Jobs",,A,UML,单选题
131,识别用例时，用例的命名通常采用什么格式？,名词,动名词组,形容词,句子,,B,UML,单选题
132,用例之间没有哪种关系？,顺序关系,包含关系,扩展关系,泛化关系,,A,UML,单选题
133,UML适用于软件生命周期的哪个阶段？,仅需求分析,仅设计阶段,仅编码阶段,各个阶段,,D,UML,单选题
134,在<<include>>关系中，箭头从哪里指向哪里？,从基础用例指向被包含用例,从被包含用例指向基础用例,双向箭头,没有箭头,,A,UML,单选题
135,哪种UML图表示某个类所处的不同状态以及在这些状态中的转换过程？,类图,活动图,状态图,对象图,,C,UML,单选题
136,在UML中，表示对象之间交互的时间顺序的图是（）。,类图,对象图,顺序图,活动图,,C,UML,单选题
137,以下哪项不是参与者的类型？,人,硬件设备,数据库表,外部系统,,C,UML,单选题
138,在用例文档中，描述用例正常流程的部分是（）。,前置条件,基本事件流,扩展事件流,后置条件,,B,UML,单选题
139,UML中，用于表示系统物理部署的图是（）。,组件图,部署图,包图,对象图,,B,UML,单选题
140,以下哪项不是用例命名的原则？,动名词形式,短小精悍,技术术语优先,业务语言,,C,UML,单选题
141,在UML中，表示类之间“整体-部分”关系的是（）。,关联,依赖,聚合,泛化,,C,UML,单选题
142,以下哪项不是UML 2.0中的图？,用例图,数据流图,状态图,活动图,,B,UML,单选题
143,以下哪项不是用例文档中“前置条件”的特点？,系统能检测到,用例开始前必须满足,描述用户心理状态,阻止参与者触发用例直到满足条件,,C,UML,单选题
144,在UML中，表示两个或多个对象之间过程控制流程的图是（）。,状态图,活动图,顺序图,用例图,,B,UML,单选题
145,以下哪项不是UML视图之一？,用户视图,结构视图,行为视图,代码视图,,D,UML,单选题
146,在用例图中，表示用例可以在基础用例之上添加新行为的关系是（）。,包含,扩展,泛化,实现,,B,UML,单选题
147,以下哪项不是面向对象方法的发展阶段？,初期阶段（20世纪60年代）,发展阶段（20世纪80年代）,成熟阶段（20世纪90年代）,衰退阶段（21世纪初）,,D,面向对象方法,单选题
148,在UML中，表示系统并发性和线程间通信的视图是（）。,逻辑视图,进程视图,实现视图,部署视图,,B,UML,单选题
149,用例图中，表示参与者之间公共行为的关系是（）。,包含,扩展,泛化,实现,,C,UML,单选题
150,在UML中，表示系统逻辑元素分布的图是（）。,部署图,组件图,包图,类图,,B,UML,单选题
151,数据字典中，用于描述数据处理频率的是（）。,处理名,输入数据流,输出数据流,加工处理逻辑,,D,结构化分析,单选题
152,在E-R图中，表示多对多联系的符号是（）。,1:1,1:N,M:N,N:1,,C,结构化分析,单选题
153,数据流图中，顶层数据流图也称为（）。,环境图,1层DFD,2层DFD,详细DFD,,A,结构化分析,单选题
154,在数据字典中，数据流的描述不包括（）。,数据流名,数据流来源,数据流组成,数据流颜色,,D,结构化分析,单选题
155,结构化分析方法中，用于描述系统行为模型的是（）。,数据流图,E-R图,状态转换图,数据字典,,C,结构化分析,单选题
156,在数据流图中，数据流可以（）。,直接从外部实体流向数据存储,直接从数据存储流向外部实体,在加工之间流动,以上都可以,,D,结构化分析,单选题
157,E-R图中，实体与属性之间用（）连接。,箭头,直线,虚线,双线,,B,结构化分析,单选题
158,数据流图中，表示数据同时输入的符号是（）。,*,+,⊕,○,,A,结构化分析,单选题
159,在状态转换图中，初态的数量是（）。,0个,1个,多个,任意个,,B,UML,单选题
160,数据字典中，用于描述数据元素类型的是（）。,数据元素名,类型,长度,取值范围,,B,结构化分析,单选题
161,E-R图中表示实体属性的图形是（）。,矩形,菱形,椭圆形,箭头,,C,结构化分析,单选题
162,结构化分析方法（SA）的基本思想是（）。,自顶向下、逐层分解,自底向上、逐步抽象,面向对象、封装继承,快速原型、迭代开发,,A,结构化分析,单选题
163,“父图与子图的平衡”是指数据流图中的（）。,数据流数量一致,处理逻辑一致,输入输出数据流一致,数据存储一致,,C,结构化分析,单选题
164,在状态转换图中，系统状态之间的转换用（）表示。,矩形,箭头,圆形,双横线,,B,结构化分析,单选题
165,在数据流图中，外部实体（）。,位于系统内部,是数据的加工者,是数据的源点或终点,是数据存储的一部分,,C,结构化分析,单选题
166,在用例图中，用于框定系统范围，区分系统内外的是？,参与者,用例,系统边界,注释,,C,UML,单选题
167,哪种UML图表示某个类所处的不同状态以及在这些状态中的转换过程？,类图,活动图,状态图,对象图,,C,UML,单选题
168,“UML三友”（Three Amigos）指的是哪三位对UML做出主要贡献的人物？,"Booch, Rumbaugh, Jacobson","Coad, Yourdon, Booch","Jacobson, Yourdon, Rumbaugh","Booch, Gates, Jobs",,A,UML,单选题
169,识别用例时，用例的命名通常采用什么格式？,名词,动名词组,形容词,句子,,B,UML,单选题
170,用例之间没有哪种关系？,顺序关系,包含关系,扩展关系,泛化关系,,A,UML,单选题
171,在用例图中，非人类的参与者，如另一个系统，通常用什么图形表示？,小人图,带构造型的方框图,椭圆形,菱形,,B,UML,单选题
172,在用例文档中，描述异常流程或分支流程的部分是？,前置条件,后置条件,基本事件流,扩展事件流,,D,UML,单选题
173,UML适用于软件生命周期的哪个阶段？,仅需求分析,仅设计阶段,仅编码阶段,各个阶段,,D,UML,单选题
174,在<<include>>关系中，箭头从哪里指向哪里？,从基础用例指向被包含用例,从被包含用例指向基础用例,双向箭头,没有箭头,,A,UML,单选题
175,在用例图中，<<include>>关系表示什么？,一个用例可选地扩展另一个用例的功能,一个用例必须包含另一个用例的功能,两个用例是相似的,一个用例是另一个用例的特殊情况,,B,UML,单选题
176,在UML中，用于表示软件系统如何部署到硬件环境中的图是？,组件图,用例图,部署图,类图,,C,UML,单选题
177,在用例文档中，描述用例正常、成功执行路径的部分是？,前置条件,后置条件,基本事件流,扩展事件流,,C,UML,单选题
178,在用例图中，“参与者”（Actor）代表什么？,系统内部的一个模块,特指使用系统的某个具体的人，如“张三”,与系统交互的外部实体所扮演的角色,系统中的一个数据库,,C,UML,单选题
179,把对象的属性和操作绑定在一起，并尽可能隐藏对象内部细节的机制，称为？,继承,多态,封装,抽象,,C,面向对象方法,单选题
180,面向对象方法中，“子类自动具有和父类相同的特性”的现象称为？,封装,多态,抽象,继承,,D,面向对象方法,单选题
181,在用例图中，用于框定系统范围，区分系统内外的是？,参与者,用例,系统边界,注释,,C,UML,单选题
182,在用例文档中，“用例开始前系统必须满足的条件”被称作？,后置条件,业务规则,前置条件,基本事件流,,C,UML,单选题
183,一个类图的实例被称为？,用例图,对象图,状态图,活动图,,B,UML,单选题
184,用例的“粒度”指的是什么？,用例的重要性,用例的实现难度,用例描述的详细程度和范围大小,执行用例所需的时间,,C,UML,单选题
185,在用例建模时，应该从哪个角度来描述用例？,系统观点,用户观点,开发者观点,数据库观点,,B,UML,单选题
186,在面向对象分析中，OOA代表什么？,面向对象应用,面向对象架构,面向对象分析,面向对象算法,,C,面向对象方法,单选题
187,UML的哪个视图是所有视图的核心，用于表示系统的目标和需求？,结构视图,行为视图,实现视图,用户（用例）视图,,D,UML,单选题
188,在数据流图中，数据存储的符号是（）。,箭头,矩形,双横线或开口矩形,菱形,,C,结构化分析,单选题
189,数据字典中，用于描述数据流组成的是（）。,数据流名,数据流来源,数据流组成,数据流去向,,C,结构化分析,单选题
190,结构化分析方法中，用于描述数据模型的是（）。,数据流图,E-R图,状态转换图,数据字典,,B,结构化分析,单选题
191,在状态转换图中，系统状态用（）表示。,箭头,矩形或圆形,菱形,椭圆形,,B,结构化分析,单选题
192,数据字典中，用于描述数据元素取值范围的是（）。,类型,长度,取值范围,相关的数据元素,,C,结构化分析,单选题
193,E-R图中，表示实体之间一对一联系的符号是（）。,1:1,1:N,M:N,N:1,,A,结构化分析,单选题
194,在数据流图中，处理命名应该使用（）。,名词,形容词,动宾词组,副词,,C,结构化分析,单选题
195,在状态转换图中，初态的数量是（）。,0个,1个,多个,任意个,,B,UML,单选题
196,在状态转换图中，触发状态迁移的条件写在箭头的（）。,上方,下方,左侧,右侧,,A,UML,单选题
197,结构化分析方法中，模型的核心是（）。,数据流图,E-R图,状态转换图,数据字典,,D,结构化分析,单选题
198,在数据流图中，处理命名应该使用（）。,名词,形容词,动宾词组,副词,,C,结构化分析,单选题
199,E-R图中，表示实体之间一对一联系的符号是（）。,1:1,1:N,M:N,N:1,,A,结构化分析,单选题
200,数据字典中，用于描述数据元素取值范围的是（）。,类型,长度,取值范围,相关的数据元素,,C,结构化分析,单选题
201,在状态转换图中，系统状态用（）表示。,箭头,矩形或圆形,菱形,椭圆形,,B,结构化分析,单选题
202,结构化分析方法中，用于描述数据模型的是（）。,数据流图,E-R图,状态转换图,数据字典,,B,结构化分析,单选题
203,美国IBM公司发明的，由层次图和输入/处理/输出图组成的图形工具是？,结构图,层次图,HIPO图,N-S图,,C,结构化设计,单选题
204,在结构化设计中，主要依据结构化分析的哪个成果来设计软件结构？,E-R图,状态转换图,数据字典,数据流图,,D,结构化设计,单选题
205,数据流图可以分为变换型和事务型，其中变换型数据流图的特征是？,将输入流分散成多个路径,信息沿输入路径流入，处理后沿输出路径流出,包含一个事务中心,没有数据处理过程,,B,结构化设计,单选题
206,在面向数据流的设计方法中，将数据流图映射为软件结构的过程称为？,变换分析和事务分析,数据建模,过程设计,接口设计,,A,结构化设计,单选题
207,在数据库逻辑结构设计中，对于M:N的关系，通常如何映射为关系表？,将N方的码加入M方的表中,将M方的码加入N方的表中,创建一个新的关系表，包含M方和N方的主码,合并M方和N方的表,,C,结构化设计,单选题
208,过程设计的主要任务是确定模块的？,外部接口,调用关系,内部算法和数据结构,在系统中的位置,,C,结构化设计,单选题
